Date ,Tweet,,,,,,,,,,Mention
5/23/16 16:22,JUST IN: Niyanig ng magnitude 4.6 na lindol ang Santa Catalina (Ilocos Sur) kaninang 7:58 ng umaga | @phivolcs_dost,,,,,,,,,,@dziq990
5/23/16 15:51,"JUST IN: Anahawan, Southern Leyte, niyanig ng mag. 2.9 na lindol; int. II, naramdaman sa San Francisco. äóî PHIVOLCS",,,,,,,,,,@dzbb
5/23/16 13:23,"Tandag, Surigao del Sur niyanig ng magnitude 3.4 na lindol kaninang 4:19AM | @phivolcs_dost",,,,,,,,,,@dziq990
5/22/16 17:44,"EARLIER: Itbayat, Batanes niyanig ng magnitude 4.2 na lindol (7:58am)",,,,,,,,,,@dzrhnews
5/21/16 4:54,"UPDATED: Burdeos, Quezon, niyanig ng Magnitude 4.4 na lindol alas 7:14 ng gabi. | @phivolcs_dost",,,,,,,,,,@DZBB
7/9/15 17:06,".@dost_pagasa: As of 5:00 pm, nakataas ang YELLOW Rainfall Warning sa Bataan, Zambales at Batangas. #FalconPH",,,,,,,,,,@dzbb
7/9/15 10:54,"Gutter deep na baha sa Lawton, Manila. #FalconPH  | via @Nikobaua http://fb.me/20KcB2AiR ",,,,,,,,,,@DZMMTeleRadyo
6/6/16 23:19,"Trapik, baha resulta ng biglaang pag-ulan - DZIQ Radyo Inquirer 990AM https://shar.es/1JWy5i  | @jay_dones",,,,,,,,,,@dzIQ990
6/6/16 22:23,MORE: Gutter deep na baha sa Pasong Tamo malapit sa Dela Rosa St. sa Makati City.  |via @_jamesJA,,,,,,,,,,@dzbb
5/21/16 3:42,"Burdeos, Quezon, niyanig ng Magnitude 4.5 na lindol; Intensity 3 naramdaman sa QC | via @phivolcs_dost",,,,,,,,,,@DZMMTeleRadyo
5/19/16 22:45,JUST IN: Puerto Gallera niyanig ng magnitude 3.5 na lindol (1:42pm) http://fb.me/2DyDtprD3  I @phivolcs_dost,,,,,,,,,,@dzrhnews
5/17/16 16:48,"Sarangani, Davao Occidental niyanig ng magnitude 4.3 na lindol kaninang 8:27 ng umaga | @RickyBrozas",,,,,,,,,,@dzIQ990
5/15/16 19:41,"Catbalogan, Samar niyanig ng magnitude 4.7 na lindol - DZIQ Radyo Inquirer 990AM https://shar.es/1dbqSi  | @donadominguez",,,,,,,,,,@dzIQ990
5/15/16 19:32,"Nagkaroon ng Mag. 4.7 na lindol sa 32 km NE ng Catbalogan, Samar kaninang 8:07AM. - @phivolcs_dost",,,,,,,,,,@IMReadyPH
5/15/16 13:22,"Kalingalan Caluang, Sulu, niyanig ng magnitude 3.6 na lindol kaninang 4:10 ng umaga | @phivolcs_dost",,,,,,,,,,@phivolcs_dost
5/12/16 17:58,"Sa latest update ng @phivolcs_dost, Mag. 4.3 ang sukat nila sa #lindol na ang sentro ay 30km NE ng Catbalogan, Samar",,,,,,,,,,@IMReadyPH
5/10/16 17:36,LINDOL - Mag. 3.4 (8:34AM) - 23km SW of Mati (Davao Oriental),,,,,,,,,,@IMReadyPH
5/5/16 1:37,"Batanes, niyanig ng 4.5 magnitude na lindol kaninang 4:21pm. | via @wengsalvacion",,,,,,,,,,@dzbb
5/5/16 1:04,"JUST IN: Magnitude 4.4 lindol naitala sa Sarangani,Davao Occidental(4:38PM) http://fb.me/1dGLertlt  I @phivolcs_dost",,,,,,,,,,@dzrhnews
5/5/16 0:40,"Magnitude 3.9 na lindol sa timog-silangan ng Basco, Batanes kaninang 4:21pm  | @dzmmRP45",,,,,,,,,,@DZMMTeleRadyo
4/30/16 23:47,"JUST IN: Magnitude 3.5 lindol sa New Bataan, Compostella Valley (3:22PM) http://fb.me/4ZEdUKsVc  I @phivolcs_dost",,,,,,,,,,@dzrhnews
5/1/16 3:24,"Magnitude 3.8 na lindol, naitala sa Lalawigan ng Quezon. | via @VargasMannysen",,,,,,,,,,@dzbb
4/30/16 23:11,"JUST IN: Magnitude 3.4 lindol naitala sa Sta. Cruz, Zambales (2:09PM)",,,,,,,,,,@dzrhnews
4/28/16 14:14,"Nasugbu, Batangas, niyanig ng magnitude 3.4 na lindol kaninang 5:49AM | @phivolcs_dost",,,,,,,,,,@dzIQ990
4/4/14 5:07,"Bagyong #Domeng sa labas ng PAR, inaasahang papasok sa PInas sa Linggo/Lunes",,,,,,,,,,@twitter_ph
6/6/16 22:22,Gutter deep na baha sa area ng Pasong Tamo malapit sa Herrera St. sa Makati City.  |via @_jamesJA,,,,,,,,,,@dzbb
6/6/16 19:07,"#TVPatrol 2 sa 3 tinangay ng baha sa Majayjay, Laguna, pinaghahanap | via Maira Wallis",,,,,,,,,,@TVPatrol
4/28/16 0:43,"San Policarpo, Eastern Samar, niyanig ng magnitude 4.2 na lindol. | via @phivolcs_dost",,,,,,,,,,@dzbb
5/25/16 23:54,"JUST IN: Magnitude 3.4 lindol naitala sa Burgos, Surigao del Norte (3:30PM)",,,,,,,,,,@dzrhnews
4/23/16 16:42,"EARLIER: Magnitude 3.4 lindol naitala sa Aroroy, Masbate (7:38AM)",,,,,,,,,,@dzrhnews
4/19/16 16:08,"UPDATED: Davao Oriental, niyanig ng magnitude 5 na lindol - DZIQ Radyo Inquirer 990AM",,,,,,,,,,@dzIQ990
04/18/16 12::15 AM,"JUST IN: Magnitude 3.1 lindol naitala sa Basay, Negros Oriental (3:47PM)",,,,,,,,,,@dzrhnews
4/13/16 20:40,"3 ang sugatan, 4 na bahay ang nasira dahil sa Magnitude 6 na lindol sa Zamboanga Del Norte",,,,,,,,,,@dzIQ990
4/13/16 19:57,"#TV5AksyonsaTanghali | Zamboanga Del Norte, niyanig ng magnitude 6 na lindol kaninang madaling araw.",,,,,,,,,,@news5AKSYON
4/13/16 18:32,"EARLIER: Mag 6.0 lindol naitala sa Baliguian, Zamboanga del Norte (2:21AM)",,,,,,,,,,@dzrhnews
